passengerCount,WIFIAPTag,slice10min
9.6,E1-1A-1<E1-1-01>,2016-09-25-15-0
9.8,E1-1A-1<E1-1-01>,2016-09-25-15-1
10.0,E1-1A-1<E1-1-01>,2016-09-25-15-2
10.4,E1-1A-1<E1-1-01>,2016-09-25-15-3
10.8,E1-1A-1<E1-1-01>,2016-09-25-15-4
11.3,E1-1A-1<E1-1-01>,2016-09-25-15-5
11.8,E1-1A-1<E1-1-01>,2016-09-25-16-0
11.6,E1-1A-1<E1-1-01>,2016-09-25-16-1
11.5,E1-1A-1<E1-1-01>,2016-09-25-16-2
11.4,E1-1A-1<E1-1-01>,2016-09-25-16-3
10.5,E1-1A-1<E1-1-01>,2016-09-25-16-4
9.1,E1-1A-1<E1-1-01>,2016-09-25-16-5
9.1,E1-1A-1<E1-1-01>,2016-09-25-17-0
9.2,E1-1A-1<E1-1-01>,2016-09-25-17-1
9.2,E1-1A-1<E1-1-01>,2016-09-25-17-2
9.8,E1-1A-1<E1-1-01>,2016-09-25-17-3
10.7,E1-1A-1<E1-1-01>,2016-09-25-17-4
11.8,E1-1A-1<E1-1-01>,2016-09-25-17-5
4.8,E1-1A-2<E1-1-02>,2016-09-25-15-0
5.3,E1-1A-2<E1-1-02>,2016-09-25-15-1
6.3,E1-1A-2<E1-1-02>,2016-09-25-15-2
6.7,E1-1A-2<E1-1-02>,2016-09-25-15-3
7.2,E1-1A-2<E1-1-02>,2016-09-25-15-4
7.7,E1-1A-2<E1-1-02>,2016-09-25-15-5
7.8,E1-1A-2<E1-1-02>,2016-09-25-16-0
7.7,E1-1A-2<E1-1-02>,2016-09-25-16-1
7.4,E1-1A-2<E1-1-02>,2016-09-25-16-2
7.1,E1-1A-2<E1-1-02>,2016-09-25-16-3
7.5,E1-1A-2<E1-1-02>,2016-09-25-16-4
7.6,E1-1A-2<E1-1-02>,2016-09-25-16-5
7.3,E1-1A-2<E1-1-02>,2016-09-25-17-0
6.6,E1-1A-2<E1-1-02>,2016-09-25-17-1
6.9,E1-1A-2<E1-1-02>,2016-09-25-17-2
7.6,E1-1A-2<E1-1-02>,2016-09-25-17-3
8.2,E1-1A-2<E1-1-02>,2016-09-25-17-4
