passengerCount,WIFIAPTag,slice10min
79.3,E1-1A-1<E1-1-01>,2016-09-14-15-0
89.7,E1-1A-1<E1-1-01>,2016-09-14-15-1
102.3,E1-1A-1<E1-1-01>,2016-09-14-15-2
123.7,E1-1A-1<E1-1-01>,2016-09-14-15-3
137.7,E1-1A-1<E1-1-01>,2016-09-14-15-4
172.3,E1-1A-1<E1-1-01>,2016-09-14-15-5
151.3,E1-1A-1<E1-1-01>,2016-09-14-16-0
122.7,E1-1A-1<E1-1-01>,2016-09-14-16-1
115.0,E1-1A-1<E1-1-01>,2016-09-14-16-2
107.7,E1-1A-1<E1-1-01>,2016-09-14-16-3
113.3,E1-1A-1<E1-1-01>,2016-09-14-16-4
99.3,E1-1A-1<E1-1-01>,2016-09-14-16-5
85.0,E1-1A-1<E1-1-01>,2016-09-14-17-0
72.0,E1-1A-1<E1-1-01>,2016-09-14-17-1
66.3,E1-1A-1<E1-1-01>,2016-09-14-17-2
60.0,E1-1A-1<E1-1-01>,2016-09-14-17-3
92.7,E1-1A-1<E1-1-01>,2016-09-14-17-4
132.7,E1-1A-1<E1-1-01>,2016-09-14-17-5
72.0,E1-1A-2<E1-1-02>,2016-09-14-15-0
80.7,E1-1A-2<E1-1-02>,2016-09-14-15-1
93.7,E1-1A-2<E1-1-02>,2016-09-14-15-2
119.7,E1-1A-2<E1-1-02>,2016-09-14-15-3
131.0,E1-1A-2<E1-1-02>,2016-09-14-15-4
112.7,E1-1A-2<E1-1-02>,2016-09-14-15-5
96.3,E1-1A-2<E1-1-02>,2016-09-14-16-0
89.7,E1-1A-2<E1-1-02>,2016-09-14-16-1
82.0,E1-1A-2<E1-1-02>,2016-09-14-16-2
83.0,E1-1A-2<E1-1-02>,2016-09-14-16-3
108.7,E1-1A-2<E1-1-02>,2016-09-14-16-4
79.3,E1-1A-2<E1-1-02>,2016-09-14-16-5
55.3,E1-1A-2<E1-1-02>,2016-09-14-17-0
54.0,E1-1A-2<E1-1-02>,2016-09-14-17-1
64.3,E1-1A-2<E1-1-02>,2016-09-14-17-2
49.3,E1-1A-2<E1-1-02>,2016-09-14-17-3
70.3,E1-1A-2<E1-1-02>,2016-09-14-17-4
89.7,E1-1A-2<E1-1-02>,2016-09-14-17-5
133.7,E1-1A-3<E1-1-03>,2016-09-14-15-0
131.7,E1-1A-3<E1-1-03>,2016-09-14-15-1
146.3,E1-1A-3<E1-1-03>,2016-09-14-15-2
148.0,E1-1A-3<E1-1-03>,2016-09-14-15-3
145.3,E1-1A-3<E1-1-03>,2016-09-14-15-4
157.0,E1-1A-3<E1-1-03>,2016-09-14-15-5
147.0,E1-1A-3<E1-1-03>,2016-09-14-16-0
164.0,E1-1A-3<E1-1-03>,2016-09-14-16-1
130.0,E1-1A-3<E1-1-03>,2016-09-14-16-2
95.0,E1-1A-3<E1-1-03>,2016-09-14-16-3
92.7,E1-1A-3<E1-1-03>,2016-09-14-16-4
99.3,E1-1A-3<E1-1-03>,2016-09-14-16-5
90.3,E1-1A-3<E1-1-03>,2016-09-14-17-0
79.3,E1-1A-3<E1-1-03>,2016-09-14-17-1
95.7,E1-1A-3<E1-1-03>,2016-09-14-17-2
112.0,E1-1A-3<E1-1-03>,2016-09-14-17-3
140.0,E1-1A-3<E1-1-03>,2016-09-14-17-4
144.7,E1-1A-3<E1-1-03>,2016-09-14-17-5
86.3,E1-1A-4<E1-1-04>,2016-09-14-15-0
98.0,E1-1A-4<E1-1-04>,2016-09-14-15-1
96.7,E1-1A-4<E1-1-04>,2016-09-14-15-2
111.0,E1-1A-4<E1-1-04>,2016-09-14-15-3
109.3,E1-1A-4<E1-1-04>,2016-09-14-15-4
118.7,E1-1A-4<E1-1-04>,2016-09-14-15-5
125.7,E1-1A-4<E1-1-04>,2016-09-14-16-0
